domain,name,product_category,revenue_range,Total visits - November 2017,Total visits -  June 2017,Total visits - October 2017,SimilarWeb Rank-October,MUV - October
cannymum.co.uk,Canny Mum,Business and Industrial,$1 mil. - $5 mil.,39.69924861,Data not found,8004.990382,5457958,Data not found
worldmapsonline.com,1-WORLD MAPS ONLINE,Media and Publications,$1 mil. - $5 mil.,182521.0237,160590.2162,322575.8872,307703,78353.49818
american-biltrite.com,Produits American Biltrite Ltee,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,35274.59588,2371.380012,2189.798023,5907205,1558.889102
karabetian.com,Karabetian Imports Inc,Others,$1 mil. - $5 mil.,852.9338092,971.4236649,127.2138416,29032858,218.1359097
greengrom.com,Green Grom Clothing & Design LLC,Business and Industrial,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
voitektv.com,Voitek TV and Appliance Inc,Consumer Electronics & Appliances,$1 mil. - $5 mil.,52959.47384,1223.460271,1168.872701,6792015,1218.046035
wonderslim.com,Wonder Slim,Health and Fitness,$1 mil. - $5 mil.,31221.12767,167335.5855,39160.6694,1664669,4334.337467
professional-chemical.com,professional chemicals & equipment corporation,Business and Industrial,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
repaintsupply.com,R & E Paint Supply,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,25952.7572,54588.36877,168741.8812,561465,5534.588891
habitathomeandgarden.com,Habitat Home & Garden,Home Furnishings and Furniture,$1 mil. - $5 mil.,125.4530543,Data not found,492.1739974,8733298,198.3254296
patioproductions.com,Patio Productions,Home Furnishings and Furniture,$1 mil. - $5 mil.,16315.88623,171704.2317,17850.81242,2233719,15693.6642
aerospace-sealants.com,Aerospace Sealants LLC,Business and Industrial,$1 mil. - $5 mil.,159.3820795,Data not found,68.42804203,22889894,70.78050705
giftscentral.co.uk,Gifts Central,Gift and Novelty,$1 mil. - $5 mil.,Data not found,306.6931635,357.9590175,14527313,82.14262007
limorjewelers.com,Limor Jewelers Inc,Style and Fashion,$1 mil. - $5 mil.,256.8421979,Data not found,Data not found,Data not found,Data not found
fortressfencing.com.au,Fortress Fencing,Travel and Transportation,$1 mil. - $5 mil.,5705.300508,319.2990686,565.5413859,14311316,168.3689216
drowsports.com,DROWsports,Automotive and Vehicles,$1 mil. - $5 mil.,80837.00374,53344.45408,126236.5696,633924,6784.661892
sibername.com,Sibername.com Inc,Others,$1 mil. - $5 mil.,20017.49425,14432.25162,35605.56752,1139129,6114.104676
woodard-charles.com,Woodard & Charles,Others,$1 mil. - $5 mil.,146.8328393,Data not found,170.932627,20264235,118.2576275
bluelinesurf.com,Blueline Surf & Paddle Co,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,814.9819354,1082.500861,254.5430121,17794889,73.80856372
greengirlbasics.com,Green Girl Basics,Style and Fashion,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
williesmarine.com,Willies Marine Inc,Automotive and Vehicles,$1 mil. - $5 mil.,26.32709918,10635.70743,262.280515,16280296,235.1251953
stepstooluniverse.com,StepStoolUniverse.com,Finance,$1 mil. - $5 mil.,1274.613212,570.6860121,456.5920513,10562437,235.1724661
alhambrahome.co.uk,Alhambra Home & Garden,Home Furnishings and Furniture,$1 mil. - $5 mil.,2286.509363,808.518526,1426.508883,6098046,682.8825694
americanhunterusa.com,"American Hunter , Inc.",Sporting Goods,$1 mil. - $5 mil.,1286.566554,520.503823,686.990999,11565196,404.4289566
thejapaneseshop.co.uk,The Japanese Shop Ltd,Style and Fashion,$1 mil. - $5 mil.,68154.49363,77440.19975,41086.73367,831989,9256.907021
originscoffee.com,Origins Organic Coffee,Food And Beverage,$1 mil. - $5 mil.,649.4271301,Data not found,Data not found,Data not found,189.543597
ritzyragsandshoes.com,Shoes,Style and Fashion,$1 mil. - $5 mil.,228.149871,275.1787249,264.2596615,9790523,Data not found
peachyqueen.com,Peachy Queen Boutique LLC,Style and Fashion,$1 mil. - $5 mil.,234.2454412,1312.68163,50672.31256,997965,60.32245558
utahgunexchange.com,Utah Gun Exchange,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,398413.1759,286361.4569,586661.1426,126349,11853.29128
rescuetraininginstitute.com,Rescue Training Institute Inc,Technology and Computing,$1 mil. - $5 mil.,291.9130301,604.2233553,588.5299268,11151221,Data not found
texaswildlifesupply.com,Texas Wildlife Supply Inc,Sporting Goods,$1 mil. - $5 mil.,585.6261839,363.3022577,1014.017668,9364751,73.80856372
coronadospiceandtea.com,Coronado Spice & Tea,Food And Beverage,$1 mil. - $5 mil.,92.61221831,Data not found,Data not found,Data not found,Data not found
100naturals.com,100Naturals,Business and Industrial,$1 mil. - $5 mil.,2400.12021,Data not found,Data not found,Data not found,102.2994726
gas-sensing.com,Gas Sensing,Technology and Computing,$1 mil. - $5 mil.,14815.97737,1668.726467,3505.520906,4739242,612.0084768
puppytrail.com,Puppy Trail Inc,Pets and Pet Supplies,$1 mil. - $5 mil.,Data not found,179.3147443,Data not found,Data not found,Data not found
miamimicro.com,Miami Micro Data Inc,Consumer Electronics & Appliances,$1 mil. - $5 mil.,261.3208548,Data not found,67.74248294,24719652,Data not found
gbshopoceania.com,GB Shop Oceania Pty Ltd,Style and Fashion,$1 mil. - $5 mil.,313.9116776,371.144036,1003.747606,8205923,302.0742104
doverrug.com,Dover Rugs,Home Furnishings and Furniture,$1 mil. - $5 mil.,1616.820728,795.8427026,658.9040129,11417988,501.0367306
mcfaddenfarm.com,McFadden Farm,Food And Beverage,$1 mil. - $5 mil.,1556.930651,2083.12617,383.4618275,11917526,115.501823
zincfx.com.au,Zinc Fx,Food And Beverage,$1 mil. - $5 mil.,933.5797733,830.8889593,506.6918992,13093949,172.7568665
uppercasemagazine.com,Uppercase Magazine,Media and Publications,$1 mil. - $5 mil.,20052.71823,24201.31068,12642.66713,2547911,6163.343014
foxcreekbaskets.com,wyckoff peddler inc,Hobbies and Interests,$1 mil. - $5 mil.,437.9524226,590.0177867,181.3991611,18470284,33.26227157
northfur.ca,Northfur FX,Apparel and Accessories,$1 mil. - $5 mil.,11307.58322,2200.593844,6654.746822,3325370,2021.938831
nationwideebikes.co.uk,Nationwide e-Bikes LLP,Automotive and Vehicles,$1 mil. - $5 mil.,1892.091057,547.5584727,22651.73819,1096056,365.6432378
the-vapor-connection.com,The Vapor Connection,General Merchandise,$1 mil. - $5 mil.,229.8083941,109.4688733,175.9433381,19625652,228.9367795
pircargos.com,"P.I.R Clothing Company, LLC",Style and Fashion,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
lifestylemedicinespecialists.com,Lifestyle Medicine Specialists,Health and Fitness,$1 mil. - $5 mil.,283.0049466,Data not found,Data not found,Data not found,Data not found
flickable.com,Flickable,Style and Fashion,$1 mil. - $5 mil.,Data not found,439.173615,2400.826985,9318481,Data not found
drytunes.com,Drytunes,Consumer Electronics & Appliances,$1 mil. - $5 mil.,714.9527099,426.4585839,62.27704522,32117815,79.00922982
noveltiesgalore.com,NOVELTIES GALORE LIMITED,General Merchandise,$1 mil. - $5 mil.,Data not found,119.7066756,Data not found,Data not found,Data not found
cottontailcreek.com,Cottontail Creek Ranch,Style and Fashion,$1 mil. - $5 mil.,672.201288,Data not found,750.2543194,9381782,Data not found
aksalmonsisters.com,Salmon Sisters,Style and Fashion,$1 mil. - $5 mil.,1232.763138,774.416446,305.8142026,12353583,502.9394919
nonalim.com,Nona Lim,Food And Beverage,$1 mil. - $5 mil.,1910.383295,1880.954247,2480.080163,5273851,1593.300177
worldlygoodsinc.com,Worldly Goods Inc,Food And Beverage,$1 mil. - $5 mil.,115.2596991,213.0878139,Data not found,Data not found,19.45117888
maplelandfarms.com,Mapleland Farms,Food And Beverage,$1 mil. - $5 mil.,754.131473,255.9265509,385.3271615,16735929,Data not found
trixieandpeanut.com,Trixie & Peanut Inc,Pets and Pet Supplies,$1 mil. - $5 mil.,756.730044,228.4284775,236.4003083,11398819,35.02742568
discountedheating.co.uk,Discounted Heating,Others,$1 mil. - $5 mil.,82729.8898,42102.03712,133715.2778,577076,17317.24102
dickkramer.com,Dick Kramer Studios Inc,Others,$1 mil. - $5 mil.,751.0489435,963.3601809,560.2625087,11721979,954.6124921
juliaknightcollection.com,Julia Knight Inc,Style and Fashion,$1 mil. - $5 mil.,1576.775087,441.4315536,374.7971539,13118725,111.2175305
filtergrille.com,Magnetic Filter Grille System!,Technology and Computing,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
remiandreid.com,Remi And Reid Inc,Style and Fashion,$1 mil. - $5 mil.,1027.085505,640.083548,725.7553637,8627433,238.974979
purporaengineering.com,Purpora Engineering LLC,Others,$1 mil. - $5 mil.,Data not found,Data not found,218.2264328,18055956,Data not found
rmirishjewels.com,RM Irish Jewels,Style and Fashion,$1 mil. - $5 mil.,Data not found,Data not found,214.8201351,23442108,68.82185645
powerltd.com,Power Presentations Ltd,Education,$1 mil. - $5 mil.,1305.342812,960.2348289,1466.790395,8734732,91.59408419
weaverappliance.com,Weaver Appliance,Consumer Electronics & Appliances,$1 mil. - $5 mil.,611.5597318,568.9694391,849.3246466,8786556,328.8860902
800florals.com,SAF,Florists,$1 mil. - $5 mil.,54497.07819,8318.400699,49127.44408,1514052,6647.857093
merinogold.com.au,Merino Gold Australia Pty Ltd,Apparel and Accessories,$1 mil. - $5 mil.,531.4959241,3638.657623,238.8905094,14933622,316.6326945
stlspecialfx.com,St Louis Special FX,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,15.92144724,Data not found,63.8814861,26771630,Data not found
jillrosenwald.com,Jill Rosenwald Studio,Style and Fashion,$1 mil. - $5 mil.,2436.236708,441.666607,854.032722,7735713,1303.113684
glassetchingfever.com,Glass Etching Fever,Other,$1 mil. - $5 mil.,501.88417,Data not found,141.1893099,27943110,Data not found
pmj-international.com,PMJ International Ltd,Others,$1 mil. - $5 mil.,19463.06337,1097.505965,1335.769787,8451107,584.5469868
thesuspensionking.com,TheSuspensionKing.com,Automotive and Vehicles,$1 mil. - $5 mil.,8587.372219,876.5518554,23961.7677,2868718,70.95578793
gardenlink.com,Gardenlink,Home Furnishings and Furniture,$1 mil. - $5 mil.,146.086899,506.2748659,Data not found,Data not found,102.7672864
brainboxcandy.com,Brainbox Candy Ltd,Gift and Novelty,$1 mil. - $5 mil.,3755.498499,4041.063327,3046.404163,5102181,1605.935142
mnnut.com,Midwest Northern Nut Inc,Others,$1 mil. - $5 mil.,990.6550487,163.6783134,327.7703268,10537526,Data not found
airwareamerica.com,Airware America,Others,$1 mil. - $5 mil.,1787.298151,740.4099981,302.7080174,20047377,153.177405
camera-shop.co.uk,Camera Shop,Hobbies and Interests,$1 mil. - $5 mil.,919.7575353,Data not found,15.17408392,37446114,269.6634937
pilarsboutique.com,Pilar's Boutique,Apparel and Accessories,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
potomacwines.com,Potomac Wines,Food And Beverage,$1 mil. - $5 mil.,29838.75414,5897.197355,9970.538349,1795134,3820.368755
paradox.co.uk,Paradox,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,1395.606591,466.0702111,120.231552,25931594,187.66304
canadianbaristaacademy.com,Canadian Barista & Coffee Academy,Food And Beverage,$1 mil. - $5 mil.,1098.595307,1256.486819,1888.349381,6377241,1028.346059
subrosasoft.com,SubRosaSoft.com Ltd.,Technology and Computing,$1 mil. - $5 mil.,13393.57334,7527.866523,6966.621106,4282081,4637.399442
planetdesert.com,Planet Desert,Business and Industrial,$1 mil. - $5 mil.,1451.568118,869.3142122,64793.02724,641598,1009.757368
justintymesports.net,JustInTymeSports LLC,Science,$1 mil. - $5 mil.,38248.67142,1366.022912,560.8881931,10463155,518.8883108
nwcnaturals.com,NWC Naturals Inc,Others,$1 mil. - $5 mil.,1627.876645,2817.700444,917.8156954,7860901,736.3128813
edenbrewery.com,Eden Brewery Limited,Food And Beverage,$1 mil. - $5 mil.,1677.610675,443.4752437,Data not found,Data not found,139.3573827
promedco.net,ProMedCo Inc,Stationery and Office Products,$1 mil. - $5 mil.,162.9041878,Data not found,Data not found,Data not found,Data not found
lockpicktools.com,Southern Specialties,Home Furnishings and Furniture,$1 mil. - $5 mil.,6319.20747,5558.273861,87417.73754,731569,2918.537494
ballbeauty.com,Ball Beauty Supply Co,Others,$1 mil. - $5 mil.,2518.898236,2414.861198,3538.370342,4904701,677.2477086
mydesignsource.com,MyDesignSource,Home Furnishings and Furniture,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
labcoatsunlimited.com,Lab Coats Unlimited,Style and Fashion,$1 mil. - $5 mil.,Data not found,102.4579311,Data not found,Data not found,80.29026573
igloo6.co.uk,Focas Ltd,Technology and Computing,$1 mil. - $5 mil.,355.5969933,Data not found,165.7346272,23750593,Data not found
uscfsales.com,uscfsales.com,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,21632.79705,25254.42191,131675.7332,599753,8974.079647
spinets.net,SPI Nets,Sporting Goods,$1 mil. - $5 mil.,Data not found,Data not found,59.64676037,34177083,59.38099784
magiccityfloral.com,Magic City Floral,Florists,$1 mil. - $5 mil.,582.2691437,642.6405015,65.4808323,31809241,275.9324189
billpfund.com,Bill Pfund Trumpets,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,Data not found,346.6361382,Data not found,Data not found,Data not found
fishingdiscountdirect.com,Fishing Discount Direct,Science,$1 mil. - $5 mil.,186.6017594,266.7806603,Data not found,Data not found,159.8643825
pioneerbrite.com,Pioneer Brite Inc,Others,$1 mil. - $5 mil.,94.12618492,224.5694265,136.9049003,19487708,Data not found
rafrossigoldplated.com,Raf Rossi Gold,Style and Fashion,$1 mil. - $5 mil.,292.8427735,337.6408953,Data not found,Data not found,34.86570454
trakcycles.com.au,Trak Cycles,Business and Industrial,$1 mil. - $5 mil.,1748.27753,Data not found,Data not found,Data not found,Data not found
crazypigdesigns.com,Crazy Pig Designs,Style and Fashion,$1 mil. - $5 mil.,3988.585896,87631.03275,26438.99473,1613204,1308.406089
mygrowchart.com,MyGrowChart.com,"Children, Family and Parenting",$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
essentialslondon.com,Essentials Pharmacy,Medical and Wellness,$1 mil. - $5 mil.,62528.72886,65987.95039,32166.60501,2083855,4388.60975
superbrace.com,SuperBrace Inc,Automotive and Vehicles,$1 mil. - $5 mil.,3669.715474,55860.76607,4521.278208,4481147,848.6156086
innovetpet.com,Innovet Pet Products,Business and Industrial,$1 mil. - $5 mil.,5604.42547,3596.963167,5522.266834,3752320,4395.0325
bigskyharley.com,"Big Sky Harley-Davidson, L.L.C.",Automotive and Vehicles,$1 mil. - $5 mil.,489.0135471,1746.859712,147.3575541,27486101,284.388294
greenlandfood.net,Green Land Food LLC,Food And Beverage,$1 mil. - $5 mil.,181.4617151,Data not found,136.6019514,19964650,366.1531975
